,0,1
0,53.35023,-6.279696
1,53.357841,-6.251557
2,53.356307,-6.273717
3,53.349562,-6.278198
4,53.336021,-6.26298
5,53.359405,-6.276142
6,53.33796,-6.24153
7,53.343368,-6.27012
8,53.334123,-6.265436
9,53.344304,-6.250427
10,53.338755,-6.262003
11,53.347777,-6.244239
12,53.336074,-6.252825
13,53.330091,-6.268044
14,53.350929,-6.265125
15,53.341515,-6.256853
16,53.348279,-6.254662
17,53.35893,-6.280337
18,53.344115,-6.237153
19,53.343893,-6.280531
20,53.347477,-6.28525
21,53.339005,-6.300217
22,53.344153,-6.233451
23,53.334295,-6.258503
24,53.340803,-6.267732
25,53.351464,-6.255265
26,53.333653,-6.248345
27,53.343105,-6.277167
28,53.341428,-6.24672
29,53.338614,-6.248606
30,53.341833,-6.231291
31,53.346637,-6.246154
32,53.343034,-6.263578
33,53.346867,-6.230852
34,53.3547,-6.272314
35,53.33403,-6.260714
36,53.346026,-6.243576
37,53.330662,-6.260177
38,53.342113,-6.310015
39,53.357043,-6.263232
40,53.348875,-6.267459
41,53.346874,-6.272976
42,53.347932,-6.240928
43,53.334432,-6.245575
44,53.343565,-6.275071
45,53.359624,-6.260348
46,53.354929,-6.269425
47,53.350974,-6.25294
48,53.337132,-6.26059
49,53.339218,-6.240642
50,53.347122,-6.234749
51,53.355173,-6.278424
52,53.350291,-6.273507
53,53.354845,-6.247579
54,53.335742,-6.24551
55,53.343653,-6.231755
56,53.347884,-6.248048
57,53.341288,-6.258117
58,53.347508,-6.252192
59,53.341805,-6.305085
60,53.341645,-6.29719
61,53.342296,-6.287661
62,53.337757,-6.267699
63,53.358115,-6.265601
64,53.342638,-6.238695
65,53.339434,-6.246548
66,53.339334,-6.264699
67,53.337494,-6.26199
68,53.35561,-6.261397
69,53.343897,-6.29706
70,53.346985,-6.297804
71,53.355954,-6.278378
72,53.337824,-6.256035
73,53.346603,-6.296924
74,53.345922,-6.254614
75,53.359246,-6.269779
76,53.330362,-6.265163
77,53.359967,-6.264828
78,53.356769,-6.26814
79,53.343456,-6.287409
80,53.356717,-6.256359
81,53.339764,-6.251988
82,53.34744,-6.238523
83,53.355473,-6.264423
84,53.347972,-6.291804
85,53.344007,-6.266802
86,53.347106,-6.292041
87,53.352149,-6.260533
88,53.345203,-6.247163
89,53.353331,-6.249319
90,53.338776,-6.30395
91,53.359157,-6.281866
92,53.349013,-6.260311
93,53.358437,-6.260641
94,53.335211,-6.2509
95,53.339629,-6.243778
96,53.341359,-6.292951
97,53.332763,-6.257942
98,53.351182,-6.269859
99,53.3483,-6.266651
100,53.346057,-6.268001
101,53.354663,-6.278681
102,53.356299,-6.258586
103,53.332383,-6.252717
104,53.340714,-6.308191
105,53.347802,-6.292432
106,53.34218,-6.254485
107,53.3488,-6.281637
108,53.340927,-6.262501
109,53.336597,-6.248109
110,53.3537415547453,-6.26530144781526
111,53.344603,-6.263371
112,53.347692,-6.278214
113,53.342081,-6.275233
